"site_code","plot_code","year","month","day"
"USA.YukonKuskokwimDelta.UB7","USA.YukonKuskokwimDelta.UB7.46",2019,7,10
"USA.YukonKuskokwimDelta.UB7","USA.YukonKuskokwimDelta.UB7.48",2019,7,10
"USA.YukonKuskokwimDelta.1","USA.YukonKuskokwimDelta.1.1",2016,6,15
"USA.YukonKuskokwimDelta.1","USA.YukonKuskokwimDelta.1.2",2016,6,15
"USA.YukonKuskokwimDelta.1","USA.YukonKuskokwimDelta.1.3",2016,6,15
"USA.YukonKuskokwimDelta.2","USA.YukonKuskokwimDelta.2.1",2016,6,16
"USA.YukonKuskokwimDelta.2","USA.YukonKuskokwimDelta.2.2",2016,6,16
"USA.YukonKuskokwimDelta.2","USA.YukonKuskokwimDelta.2.3",2016,6,16
"USA.YukonKuskokwimDelta.3","USA.YukonKuskokwimDelta.3.1",2016,6,17
"USA.YukonKuskokwimDelta.3","USA.YukonKuskokwimDelta.3.2",2016,6,17
"USA.YukonKuskokwimDelta.3","USA.YukonKuskokwimDelta.3.3",2016,6,17
"USA.YukonKuskokwimDelta.4","USA.YukonKuskokwimDelta.4.1",2016,6,18
"USA.YukonKuskokwimDelta.4","USA.YukonKuskokwimDelta.4.2",2016,6,18
"USA.YukonKuskokwimDelta.4","USA.YukonKuskokwimDelta.4.3",2016,6,18
"USA.YukonKuskokwimDelta.5","USA.YukonKuskokwimDelta.5.1",2016,6,19
"USA.YukonKuskokwimDelta.5","USA.YukonKuskokwimDelta.5.2",2016,6,19
"USA.YukonKuskokwimDelta.5","USA.YukonKuskokwimDelta.5.3",2016,6,19
"USA.YukonKuskokwimDelta.6","USA.YukonKuskokwimDelta.6.1",2016,6,18
"USA.YukonKuskokwimDelta.6","USA.YukonKuskokwimDelta.6.2",2016,6,18
"USA.YukonKuskokwimDelta.6","USA.YukonKuskokwimDelta.6.3",2016,6,18
"USA.YukonKuskokwimDelta.72B2","USA.YukonKuskokwimDelta.72B2.1",2017,7,1
"USA.YukonKuskokwimDelta.72B3","USA.YukonKuskokwimDelta.72B3.3",2017,7,1
"USA.YukonKuskokwimDelta.72B4","USA.YukonKuskokwimDelta.72B4.2",2017,7,1
"USA.YukonKuskokwimDelta.B","USA.YukonKuskokwimDelta.B.1",2017,7,1
"USA.YukonKuskokwimDelta.B","USA.YukonKuskokwimDelta.B.2",2017,7,1
"USA.YukonKuskokwimDelta.B","USA.YukonKuskokwimDelta.B.3",2017,7,1
"USA.YukonKuskokwimDelta.U","USA.YukonKuskokwimDelta.U.1",2017,7,1
"USA.YukonKuskokwimDelta.U","USA.YukonKuskokwimDelta.U.2",2017,7,1
"USA.YukonKuskokwimDelta.U","USA.YukonKuskokwimDelta.U.3",2017,7,1
"USA.Kougaork.GraminoidShrub","USA.Kougaork.GraminoidShrub.TT-1",2016,7,NA
"USA.Kougaork.GraminoidShrub","USA.Kougaork.GraminoidShrub.TT-2",2016,7,NA
"USA.Kougaork.GraminoidShrub","USA.Kougaork.GraminoidShrub.TT-WBT-1",2016,7,NA
"USA.Kougaork.GraminoidShrub","USA.Kougaork.GraminoidShrub.TT-WBT-3",2016,7,NA
"USA.Kougaork.LowShrub","USA.Kougaork.LowShrub.DSLT-1",2016,7,NA
"USA.Kougaork.LowShrub","USA.Kougaork.LowShrub.DSLT-3",2016,7,NA
"USA.Kougaork.LowShrub","USA.Kougaork.LowShrub.NAMC-1",2016,7,NA
"USA.Kougaork.LowShrub","USA.Kougaork.LowShrub.NAMC-3",2016,7,NA
"USA.Kougaork.TallShrub","USA.Kougaork.TallShrub.AS-1",2016,7,NA
"USA.Kougaork.TallShrub","USA.Kougaork.TallShrub.AS-2",2016,7,NA
"USA.Kougaork.TallShrub","USA.Kougaork.TallShrub.WBT-1",2016,7,NA
"USA.Kougaork.TallShrub","USA.Kougaork.TallShrub.WBT-2",2016,7,NA
"Finland.Kilpisjarvi.001","Finland.Kilpisjarvi.001.EA",2016,7,30
"Finland.Kilpisjarvi.001","Finland.Kilpisjarvi.001.EB",2016,7,30
"Finland.Kilpisjarvi.002","Finland.Kilpisjarvi.002.HA",2016,7,11
"Finland.Kilpisjarvi.002","Finland.Kilpisjarvi.002.EA",2016,7,30
"Finland.Kilpisjarvi.002","Finland.Kilpisjarvi.002.EB",2016,7,30
"Finland.Kilpisjarvi.002","Finland.Kilpisjarvi.002.HB",2016,7,11
"Finland.Kilpisjarvi.002","Finland.Kilpisjarvi.002.KA",2016,6,15
"Finland.Kilpisjarvi.002","Finland.Kilpisjarvi.002.KB",2016,6,15
"Finland.Kilpisjarvi.006","Finland.Kilpisjarvi.006.HA",2016,7,9
"Finland.Kilpisjarvi.006","Finland.Kilpisjarvi.006.HB",2016,7,9
"Finland.Kilpisjarvi.007","Finland.Kilpisjarvi.007.HA",2016,7,11
"Finland.Kilpisjarvi.007","Finland.Kilpisjarvi.007.HB",2016,7,11
"Finland.Kilpisjarvi.010","Finland.Kilpisjarvi.010.HA",2016,7,9
"Finland.Kilpisjarvi.010","Finland.Kilpisjarvi.010.HB",2016,7,9
"Finland.Kilpisjarvi.013","Finland.Kilpisjarvi.013.EA",2016,7,30
"Finland.Kilpisjarvi.013","Finland.Kilpisjarvi.013.EB",2016,7,30
"Finland.Kilpisjarvi.013","Finland.Kilpisjarvi.013.HA",2016,7,11
"Finland.Kilpisjarvi.013","Finland.Kilpisjarvi.013.HB",2016,7,11
"Finland.Kilpisjarvi.019","Finland.Kilpisjarvi.019.HA",2016,7,9
"Finland.Kilpisjarvi.019","Finland.Kilpisjarvi.019.HB",2016,7,9
"Finland.Kilpisjarvi.020","Finland.Kilpisjarvi.020.HA",2016,7,29
"Finland.Kilpisjarvi.020","Finland.Kilpisjarvi.020.HB",2016,7,29
"Finland.Kilpisjarvi.032","Finland.Kilpisjarvi.032.HA",2016,7,29
"Finland.Kilpisjarvi.032","Finland.Kilpisjarvi.032.HB",2016,7,29
"Finland.Kilpisjarvi.038","Finland.Kilpisjarvi.038.HA",2016,7,29
"Finland.Kilpisjarvi.038","Finland.Kilpisjarvi.038.HB",2016,7,29
"Finland.Kilpisjarvi.040","Finland.Kilpisjarvi.040.HA",2016,7,27
"Finland.Kilpisjarvi.040","Finland.Kilpisjarvi.040.HB",2016,7,27
"Finland.Kilpisjarvi.043","Finland.Kilpisjarvi.043.KA",2016,6,12
"Finland.Kilpisjarvi.043","Finland.Kilpisjarvi.043.EA",2016,8,2
"Finland.Kilpisjarvi.043","Finland.Kilpisjarvi.043.HA",2016,7,2
"Finland.Kilpisjarvi.043","Finland.Kilpisjarvi.043.HB",2016,7,2
"Finland.Kilpisjarvi.043","Finland.Kilpisjarvi.043.KB",2016,6,12
"Finland.Kilpisjarvi.045","Finland.Kilpisjarvi.045.HA",2016,7,1
"Finland.Kilpisjarvi.045","Finland.Kilpisjarvi.045.HB",2016,7,1
"Finland.Kilpisjarvi.045","Finland.Kilpisjarvi.045.KA",2016,6,12
"Finland.Kilpisjarvi.045","Finland.Kilpisjarvi.045.EA",2016,8,2
"Finland.Kilpisjarvi.045","Finland.Kilpisjarvi.045.EB",2016,8,2
"Finland.Kilpisjarvi.045","Finland.Kilpisjarvi.045.KB",2016,6,12
"Finland.Kilpisjarvi.047","Finland.Kilpisjarvi.047.HA",2016,7,1
"Finland.Kilpisjarvi.047","Finland.Kilpisjarvi.047.KA",2016,6,4
"Finland.Kilpisjarvi.047","Finland.Kilpisjarvi.047.EA",2016,8,6
"Finland.Kilpisjarvi.047","Finland.Kilpisjarvi.047.HB",2016,7,1
"Finland.Kilpisjarvi.047","Finland.Kilpisjarvi.047.KB",2016,6,4
"Finland.Kilpisjarvi.068","Finland.Kilpisjarvi.068.HA",2016,7,24
"Finland.Kilpisjarvi.068","Finland.Kilpisjarvi.068.HB",2016,7,24
"Finland.Kilpisjarvi.072","Finland.Kilpisjarvi.072.HA",2016,7,24
"Finland.Kilpisjarvi.072","Finland.Kilpisjarvi.072.HB",2016,7,24
"Finland.Kilpisjarvi.074","Finland.Kilpisjarvi.074.HA",2016,7,23
"Finland.Kilpisjarvi.074","Finland.Kilpisjarvi.074.HB",2016,7,23
"Finland.Kilpisjarvi.075","Finland.Kilpisjarvi.075.HA",2016,7,23
"Finland.Kilpisjarvi.075","Finland.Kilpisjarvi.075.HB",2016,7,23
"Finland.Kilpisjarvi.076","Finland.Kilpisjarvi.076.HA",2016,7,21
"Finland.Kilpisjarvi.076","Finland.Kilpisjarvi.076.HB",2016,7,21
"Finland.Kilpisjarvi.077","Finland.Kilpisjarvi.077.EA",2016,8,4
"Finland.Kilpisjarvi.077","Finland.Kilpisjarvi.077.HA",2016,7,2
"Finland.Kilpisjarvi.077","Finland.Kilpisjarvi.077.KA",2016,6,5
"Finland.Kilpisjarvi.077","Finland.Kilpisjarvi.077.EB",2016,8,4
"Finland.Kilpisjarvi.077","Finland.Kilpisjarvi.077.HB",2016,7,2
"Finland.Kilpisjarvi.077","Finland.Kilpisjarvi.077.KB",2016,6,5
"Finland.Kilpisjarvi.084","Finland.Kilpisjarvi.084.EB",2016,8,4
"Finland.Kilpisjarvi.084","Finland.Kilpisjarvi.084.EA",2016,8,4
"Finland.Kilpisjarvi.084","Finland.Kilpisjarvi.084.HA",2016,7,3
"Finland.Kilpisjarvi.084","Finland.Kilpisjarvi.084.HB",2016,7,3
"Finland.Kilpisjarvi.084","Finland.Kilpisjarvi.084.KA",2016,6,11
"Finland.Kilpisjarvi.084","Finland.Kilpisjarvi.084.KB",2016,6,11
"Finland.Kilpisjarvi.086","Finland.Kilpisjarvi.086.EA",2016,8,4
"Finland.Kilpisjarvi.086","Finland.Kilpisjarvi.086.EB",2016,8,4
"Finland.Kilpisjarvi.086","Finland.Kilpisjarvi.086.HA",2016,7,3
"Finland.Kilpisjarvi.086","Finland.Kilpisjarvi.086.HB",2016,7,3
"Finland.Kilpisjarvi.086","Finland.Kilpisjarvi.086.KA",2016,6,11
"Finland.Kilpisjarvi.086","Finland.Kilpisjarvi.086.KB",2016,6,11
"Finland.Kilpisjarvi.091","Finland.Kilpisjarvi.091.HA",2016,7,20
"Finland.Kilpisjarvi.091","Finland.Kilpisjarvi.091.HB",2016,7,20
"Finland.Kilpisjarvi.092","Finland.Kilpisjarvi.092.HB",2016,7,20
"Finland.Kilpisjarvi.092","Finland.Kilpisjarvi.092.HA",2016,7,20
"Finland.Kilpisjarvi.1003","Finland.Kilpisjarvi.1003.A",2017,8,11
"Finland.Kilpisjarvi.1009","Finland.Kilpisjarvi.1009.A",2017,8,11
"Finland.Kilpisjarvi.1015","Finland.Kilpisjarvi.1015.A",2017,8,8
"Finland.Kilpisjarvi.1021","Finland.Kilpisjarvi.1021.A",2017,8,7
"Finland.Kilpisjarvi.1027","Finland.Kilpisjarvi.1027.A",2017,8,7
"Finland.Kilpisjarvi.103","Finland.Kilpisjarvi.103.A",2017,8,3
"Finland.Kilpisjarvi.103","Finland.Kilpisjarvi.103.B",2018,8,6
"Finland.Kilpisjarvi.1033","Finland.Kilpisjarvi.1033.A",2017,8,11
"Finland.Kilpisjarvi.1039","Finland.Kilpisjarvi.1039.A",2017,8,6
"Finland.Kilpisjarvi.1043","Finland.Kilpisjarvi.1043.A",2017,8,11
"Finland.Kilpisjarvi.1045","Finland.Kilpisjarvi.1045.A",2017,8,4
"Finland.Kilpisjarvi.1045","Finland.Kilpisjarvi.1045.B",2018,8,10
"Finland.Kilpisjarvi.1057","Finland.Kilpisjarvi.1057.A",2017,8,7
"Finland.Kilpisjarvi.1063","Finland.Kilpisjarvi.1063.A",2017,8,7
"Finland.Kilpisjarvi.1063","Finland.Kilpisjarvi.1063.B",2018,7,26
"Finland.Kilpisjarvi.1069","Finland.Kilpisjarvi.1069.A",2017,8,5
"Finland.Kilpisjarvi.1069","Finland.Kilpisjarvi.1069.B",2018,7,27
"Finland.Kilpisjarvi.107","Finland.Kilpisjarvi.107.EA",2016,8,4
"Finland.Kilpisjarvi.107","Finland.Kilpisjarvi.107.HA",2016,7,4
"Finland.Kilpisjarvi.107","Finland.Kilpisjarvi.107.EB",2016,8,4
"Finland.Kilpisjarvi.107","Finland.Kilpisjarvi.107.HB",2016,7,4
"Finland.Kilpisjarvi.1075","Finland.Kilpisjarvi.1075.A",2017,8,6
"Finland.Kilpisjarvi.1075","Finland.Kilpisjarvi.1075.B",2018,7,25
"Finland.Kilpisjarvi.1087","Finland.Kilpisjarvi.1087.A",2017,8,11
"Finland.Kilpisjarvi.109","Finland.Kilpisjarvi.109.A",2017,8,3
"Finland.Kilpisjarvi.109","Finland.Kilpisjarvi.109.B",2018,7,18
"Finland.Kilpisjarvi.1093","Finland.Kilpisjarvi.1093.A",2017,8,8
"Finland.Kilpisjarvi.1099","Finland.Kilpisjarvi.1099.A",2017,8,7
"Finland.Kilpisjarvi.1105","Finland.Kilpisjarvi.1105.A",2017,8,7
"Finland.Kilpisjarvi.111","Finland.Kilpisjarvi.111.HA",2016,7,20
"Finland.Kilpisjarvi.111","Finland.Kilpisjarvi.111.HB",2016,7,20
"Finland.Kilpisjarvi.1111","Finland.Kilpisjarvi.1111.A",2017,8,11
"Finland.Kilpisjarvi.1117","Finland.Kilpisjarvi.1117.A",2017,8,10
"Finland.Kilpisjarvi.11201","Finland.Kilpisjarvi.11201.A",2017,8,11
"Finland.Kilpisjarvi.11201","Finland.Kilpisjarvi.11201.B",2018,8,9
"Finland.Kilpisjarvi.11202","Finland.Kilpisjarvi.11202.A",2017,8,6
"Finland.Kilpisjarvi.11202","Finland.Kilpisjarvi.11202.B",2018,8,9
"Finland.Kilpisjarvi.11203","Finland.Kilpisjarvi.11203.A",2017,8,6
"Finland.Kilpisjarvi.11203","Finland.Kilpisjarvi.11203.B",2018,8,9
"Finland.Kilpisjarvi.11204","Finland.Kilpisjarvi.11204.A",2017,8,6
"Finland.Kilpisjarvi.11204","Finland.Kilpisjarvi.11204.B",2018,8,9
"Finland.Kilpisjarvi.11205","Finland.Kilpisjarvi.11205.A",2017,8,6
"Finland.Kilpisjarvi.11205","Finland.Kilpisjarvi.11205.B",2018,8,9
"Finland.Kilpisjarvi.11206","Finland.Kilpisjarvi.11206.A",2017,8,4
"Finland.Kilpisjarvi.11206","Finland.Kilpisjarvi.11206.B",2018,8,9
"Finland.Kilpisjarvi.11207","Finland.Kilpisjarvi.11207.A",2017,8,4
"Finland.Kilpisjarvi.11207","Finland.Kilpisjarvi.11207.B",2018,8,10
"Finland.Kilpisjarvi.11208","Finland.Kilpisjarvi.11208.A",2017,8,4
"Finland.Kilpisjarvi.11208","Finland.Kilpisjarvi.11208.B",2018,8,9
"Finland.Kilpisjarvi.11209","Finland.Kilpisjarvi.11209.A",2017,8,6
"Finland.Kilpisjarvi.11209","Finland.Kilpisjarvi.11209.B",2018,7,20
"Finland.Kilpisjarvi.11210","Finland.Kilpisjarvi.11210.A",2017,8,6
"Finland.Kilpisjarvi.11210","Finland.Kilpisjarvi.11210.B",2018,7,20
"Finland.Kilpisjarvi.11211","Finland.Kilpisjarvi.11211.A",2017,8,6
"Finland.Kilpisjarvi.11211","Finland.Kilpisjarvi.11211.B",2018,7,22
"Finland.Kilpisjarvi.11212","Finland.Kilpisjarvi.11212.A",2017,8,6
"Finland.Kilpisjarvi.11212","Finland.Kilpisjarvi.11212.B",2018,7,20
"Finland.Kilpisjarvi.11213","Finland.Kilpisjarvi.11213.A",2017,8,6
"Finland.Kilpisjarvi.11213","Finland.Kilpisjarvi.11213.B",2018,7,20
"Finland.Kilpisjarvi.11214","Finland.Kilpisjarvi.11214.A",2017,8,6
"Finland.Kilpisjarvi.11214","Finland.Kilpisjarvi.11214.B",2018,7,20
"Finland.Kilpisjarvi.11215","Finland.Kilpisjarvi.11215.A",2017,8,6
"Finland.Kilpisjarvi.11215","Finland.Kilpisjarvi.11215.B",2018,7,21
"Finland.Kilpisjarvi.11216","Finland.Kilpisjarvi.11216.A",2017,8,6
"Finland.Kilpisjarvi.11216","Finland.Kilpisjarvi.11216.B",2018,7,20
"Finland.Kilpisjarvi.11217","Finland.Kilpisjarvi.11217.A",2017,8,4
"Finland.Kilpisjarvi.11217","Finland.Kilpisjarvi.11217.B",2018,8,2
"Finland.Kilpisjarvi.11218","Finland.Kilpisjarvi.11218.A",2017,8,4
"Finland.Kilpisjarvi.11218","Finland.Kilpisjarvi.11218.B",2018,8,2
"Finland.Kilpisjarvi.11219","Finland.Kilpisjarvi.11219.A",2017,8,4
"Finland.Kilpisjarvi.11219","Finland.Kilpisjarvi.11219.B",2018,8,3
"Finland.Kilpisjarvi.11220","Finland.Kilpisjarvi.11220.B",2018,7,30
"Finland.Kilpisjarvi.11221","Finland.Kilpisjarvi.11221.A",2017,8,6
"Finland.Kilpisjarvi.11221","Finland.Kilpisjarvi.11221.B",2018,8,6
"Finland.Kilpisjarvi.11222","Finland.Kilpisjarvi.11222.A",2017,8,4
"Finland.Kilpisjarvi.11222","Finland.Kilpisjarvi.11222.B",2018,8,10
"Finland.Kilpisjarvi.11223","Finland.Kilpisjarvi.11223.A",2017,8,3
"Finland.Kilpisjarvi.11223","Finland.Kilpisjarvi.11223.B",2018,8,2
"Finland.Kilpisjarvi.11224","Finland.Kilpisjarvi.11224.A",2017,8,6
"Finland.Kilpisjarvi.11224","Finland.Kilpisjarvi.11224.B",2018,7,26
"Finland.Kilpisjarvi.11225","Finland.Kilpisjarvi.11225.A",2017,8,5
"Finland.Kilpisjarvi.11225","Finland.Kilpisjarvi.11225.B",2018,7,25
"Finland.Kilpisjarvi.1123","Finland.Kilpisjarvi.1123.A",2017,8,4
"Finland.Kilpisjarvi.1123","Finland.Kilpisjarvi.1123.B",2018,8,10
"Finland.Kilpisjarvi.1129","Finland.Kilpisjarvi.1129.A",2017,8,5
"Finland.Kilpisjarvi.1129","Finland.Kilpisjarvi.1129.B",2018,8,10
"Finland.Kilpisjarvi.1135","Finland.Kilpisjarvi.1135.A",2017,8,5
"Finland.Kilpisjarvi.1135","Finland.Kilpisjarvi.1135.B",2018,8,NA
"Finland.Kilpisjarvi.1141","Finland.Kilpisjarvi.1141.A",2017,8,5
"Finland.Kilpisjarvi.1141","Finland.Kilpisjarvi.1141.B",2018,7,26
"Finland.Kilpisjarvi.1147","Finland.Kilpisjarvi.1147.A",2017,8,5
"Finland.Kilpisjarvi.1147","Finland.Kilpisjarvi.1147.B",2018,7,27
"Finland.Kilpisjarvi.115","Finland.Kilpisjarvi.115.A",2017,8,5
"Finland.Kilpisjarvi.115","Finland.Kilpisjarvi.115.B",2018,7,17
"Finland.Kilpisjarvi.1159","Finland.Kilpisjarvi.1159.A",2017,8,6
"Finland.Kilpisjarvi.1159","Finland.Kilpisjarvi.1159.B",2018,7,25
"Finland.Kilpisjarvi.117","Finland.Kilpisjarvi.117.HB",2016,7,4
"Finland.Kilpisjarvi.117","Finland.Kilpisjarvi.117.KA",2016,6,16
"Finland.Kilpisjarvi.117","Finland.Kilpisjarvi.117.KB",2016,6,16
"Finland.Kilpisjarvi.117","Finland.Kilpisjarvi.117.HA",2016,7,4
"Finland.Kilpisjarvi.1171","Finland.Kilpisjarvi.1171.A",2017,8,8
"Finland.Kilpisjarvi.1183","Finland.Kilpisjarvi.1183.A",2017,8,5
"Finland.Kilpisjarvi.1189","Finland.Kilpisjarvi.1189.A",2017,8,11
"Finland.Kilpisjarvi.1195","Finland.Kilpisjarvi.1195.A",2017,8,10
"Finland.Kilpisjarvi.124","Finland.Kilpisjarvi.124.HA",2016,7,8
"Finland.Kilpisjarvi.124","Finland.Kilpisjarvi.124.HB",2016,7,8
"Finland.Kilpisjarvi.124","Finland.Kilpisjarvi.124.KA",2016,6,6
"Finland.Kilpisjarvi.124","Finland.Kilpisjarvi.124.KB",2016,6,6
"Finland.Kilpisjarvi.13","Finland.Kilpisjarvi.13.A",2017,8,8
"Finland.Kilpisjarvi.132","Finland.Kilpisjarvi.132.EA",2016,8,5
"Finland.Kilpisjarvi.132","Finland.Kilpisjarvi.132.EB",2016,8,5
"Finland.Kilpisjarvi.132","Finland.Kilpisjarvi.132.HA",2016,7,8
"Finland.Kilpisjarvi.132","Finland.Kilpisjarvi.132.HB",2016,7,8
"Finland.Kilpisjarvi.132","Finland.Kilpisjarvi.132.KA",2016,6,19
"Finland.Kilpisjarvi.132","Finland.Kilpisjarvi.132.KB",2016,6,19
"Finland.Kilpisjarvi.133","Finland.Kilpisjarvi.133.EA",2016,8,5
"Finland.Kilpisjarvi.133","Finland.Kilpisjarvi.133.EB",2016,8,5
"Finland.Kilpisjarvi.133","Finland.Kilpisjarvi.133.HA",2016,7,12
"Finland.Kilpisjarvi.133","Finland.Kilpisjarvi.133.HB",2016,7,12
"Finland.Kilpisjarvi.133","Finland.Kilpisjarvi.133.A",2017,8,8
"Finland.Kilpisjarvi.138","Finland.Kilpisjarvi.138.HA",2016,7,8
"Finland.Kilpisjarvi.138","Finland.Kilpisjarvi.138.HB",2016,7,8
"Finland.Kilpisjarvi.138","Finland.Kilpisjarvi.138.KA",2016,6,6
"Finland.Kilpisjarvi.138","Finland.Kilpisjarvi.138.KB",2016,6,6
"Finland.Kilpisjarvi.139","Finland.Kilpisjarvi.139.EA",2016,8,5
"Finland.Kilpisjarvi.139","Finland.Kilpisjarvi.139.EB",2016,8,5
"Finland.Kilpisjarvi.139","Finland.Kilpisjarvi.139.HB",2016,7,12
"Finland.Kilpisjarvi.139","Finland.Kilpisjarvi.139.HA",2016,7,12
"Finland.Kilpisjarvi.139","Finland.Kilpisjarvi.139.KA",2016,9,19
"Finland.Kilpisjarvi.139","Finland.Kilpisjarvi.139.KB",2016,9,19
"Finland.Kilpisjarvi.139","Finland.Kilpisjarvi.139.A",2017,8,8
"Finland.Kilpisjarvi.149","Finland.Kilpisjarvi.149.EB",2016,8,5
"Finland.Kilpisjarvi.149","Finland.Kilpisjarvi.149.HB",2016,7,12
"Finland.Kilpisjarvi.149","Finland.Kilpisjarvi.149.EA",2016,8,5
"Finland.Kilpisjarvi.149","Finland.Kilpisjarvi.149.HA",2016,7,12
"Finland.Kilpisjarvi.149","Finland.Kilpisjarvi.149.KA",2016,6,10
"Finland.Kilpisjarvi.149","Finland.Kilpisjarvi.149.KB",2016,6,10
"Finland.Kilpisjarvi.151","Finland.Kilpisjarvi.151.A",2017,8,8
"Finland.Kilpisjarvi.159","Finland.Kilpisjarvi.159.KB",2016,6,13
"Finland.Kilpisjarvi.159","Finland.Kilpisjarvi.159.HA",2016,7,13
"Finland.Kilpisjarvi.159","Finland.Kilpisjarvi.159.HB",2016,7,13
