dataset_id,contributor,country,locale,site_code,site_id,plot_id,plot_code,coord_type,latitude,longitude,year,month,day,citation_short,citation,bioclim_zone,plant_biomass_density_gm2
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B4,15B4,45,USA.YukonKuskokwimDelta.15B4.45,site,61.25932,-163.24341,2018,7,8,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,278.97
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B4,15B4,47,USA.YukonKuskokwimDelta.15B4.47,site,61.25932,-163.24341,2018,7,8,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,298.82
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B4,15B4,49,USA.YukonKuskokwimDelta.15B4.49,site,61.25932,-163.24341,2018,7,8,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,426.11
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B5,15B5,14,USA.YukonKuskokwimDelta.15B5.14,plot,61.23628,-163.22235,2019,7,1,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,181.67
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B5,15B5,16,USA.YukonKuskokwimDelta.15B5.16,plot,61.23619,-163.22232,2019,7,1,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,133.89
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B5,15B5,18,USA.YukonKuskokwimDelta.15B5.18,plot,61.23611,-163.22227,2019,7,1,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,113.55
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B6,15B6,32,USA.YukonKuskokwimDelta.15B6.32,plot,61.29374,-163.33649,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,218.62
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B6,15B6,34,USA.YukonKuskokwimDelta.15B6.34,plot,61.29382,-163.3364,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,107.74
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B6,15B6,36,USA.YukonKuskokwimDelta.15B6.36,plot,61.2939,-163.3364,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,543.81
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B7,15B7,50,USA.YukonKuskokwimDelta.15B7.50,plot,61.32248,-163.01033,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,92.73
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B7,15B7,52,USA.YukonKuskokwimDelta.15B7.52,plot,61.3223,-163.01041,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,464.6
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.15B7,15B7,54,USA.YukonKuskokwimDelta.15B7.54,plot,61.32225,-163.01044,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,58.04
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B1,72B1,25,USA.YukonKuskokwimDelta.72B1.25,site,61.24067,-163.20741,2018,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,458.62
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B1,72B1,27,USA.YukonKuskokwimDelta.72B1.27,site,61.24067,-163.20741,2018,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,498.96
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B1,72B1,29,USA.YukonKuskokwimDelta.72B1.29,site,61.24067,-163.20741,2018,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,706.7
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B2,72B2,2,USA.YukonKuskokwimDelta.72B2.2,plot,61.24034,-163.22296,2019,7,9,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,970.21
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B2,72B2,4,USA.YukonKuskokwimDelta.72B2.4,plot,61.24033,-163.22295,2019,7,9,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,629.53
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B2,72B2,6,USA.YukonKuskokwimDelta.72B2.6,plot,61.24025,-163.22299,2019,7,9,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,1103.84
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B3,72B3,20,USA.YukonKuskokwimDelta.72B3.20,plot,61.28967,-163.34109,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,299.42
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B3,72B3,22,USA.YukonKuskokwimDelta.72B3.22,plot,61.28953,-163.34103,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,94.68
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B3,72B3,24,USA.YukonKuskokwimDelta.72B3.24,plot,61.28947,-163.34093,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,1051.16
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B4,72B4,38,USA.YukonKuskokwimDelta.72B4.38,plot,61.34542,-163.00793,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,931.04
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B4,72B4,40,USA.YukonKuskokwimDelta.72B4.40,plot,61.34542,-163.00793,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,428.19
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.72B4,72B4,42,USA.YukonKuskokwimDelta.72B4.42,plot,61.34549,-163.00786,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,688.57
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB1,UB1,11,USA.YukonKuskokwimDelta.UB1.11,site,61.270533,-163.23857,2018,7,3,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,438.3
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB1,UB1,7,USA.YukonKuskokwimDelta.UB1.7,site,61.270533,-163.23857,2018,7,3,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,151.36
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB1,UB1,9,USA.YukonKuskokwimDelta.UB1.9,site,61.270533,-163.23857,2018,7,3,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,129.6
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB2,UB2,19,USA.YukonKuskokwimDelta.UB2.19,site,61.26289,-163.24985,2018,7,2,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,376.26
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB2,UB2,21,USA.YukonKuskokwimDelta.UB2.21,site,61.26289,-163.24985,2018,7,2,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,271.36
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB2,UB2,23,USA.YukonKuskokwimDelta.UB2.23,site,61.26289,-163.24985,2018,7,2,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,284.79
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB3,UB3,31,USA.YukonKuskokwimDelta.UB3.31,site,61.237811,-163.209211,2018,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,287.91
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB3,UB3,33,USA.YukonKuskokwimDelta.UB3.33,site,61.237811,-163.209211,2018,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,697.57
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB3,UB3,35,USA.YukonKuskokwimDelta.UB3.35,site,61.237811,-163.209211,2018,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,40.89
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB4,UB4,51,USA.YukonKuskokwimDelta.UB4.51,site,61.26097,-163.24286,2018,7,8,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,322.5
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB4,UB4,53,USA.YukonKuskokwimDelta.UB4.53,site,61.26097,-163.24286,2018,7,8,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,647.01
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB5,UB5,10,USA.YukonKuskokwimDelta.UB5.10,plot,61.23665,-163.22282,2019,7,9,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,1084.34
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB5,UB5,12,USA.YukonKuskokwimDelta.UB5.12,plot,61.23673,-163.22276,2019,7,9,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,510.37
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB5,UB5,8,USA.YukonKuskokwimDelta.UB5.8,plot,61.23656,-163.22276,2019,7,9,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,220.6
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB6,UB6,26,USA.YukonKuskokwimDelta.UB6.26,plot,61.29157,-163.34142,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,216.14
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB6,UB6,28,USA.YukonKuskokwimDelta.UB6.28,plot,61.28391,-163.34811,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,174.98
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB6,UB6,30,USA.YukonKuskokwimDelta.UB6.30,plot,61.28381,-163.34811,2019,7,4,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,933.05
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB7,UB7,44,USA.YukonKuskokwimDelta.UB7.44,plot,61.3322,-163.01625,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,239.74
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB7,UB7,46,USA.YukonKuskokwimDelta.UB7.46,plot,61.33209,-163.01602,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,414.59
ds01,"Baillargeon N, Pold G, Sistla S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.UB7,UB7,48,USA.YukonKuskokwimDelta.UB7.48,plot,61.33209,-163.00804,2019,7,10,Baillargeon et al. 2022,"Baillargeon et al. 2022. Lowland tundra plant stoichiometry is somewhat resilient decades following fire despite substantial and sustained shifts in community structure. Arctic, Antarctic, and Alpine Research 54:525-536.",Low Arctic,348.74
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.1,1,1,USA.YukonKuskokwimDelta.1.1,plot,61.273606,-163.229998,2016,6,15,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,26.22
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.1,1,2,USA.YukonKuskokwimDelta.1.2,plot,61.273837,-163.229842,2016,6,15,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,173.86
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.1,1,3,USA.YukonKuskokwimDelta.1.3,plot,61.274249,-163.230039,2016,6,15,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,687.97
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.2,2,1,USA.YukonKuskokwimDelta.2.1,plot,61.270293,-163.240968,2016,6,16,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,664.58
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.2,2,2,USA.YukonKuskokwimDelta.2.2,plot,61.270428,-163.241266,2016,6,16,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,432.98
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.2,2,3,USA.YukonKuskokwimDelta.2.3,plot,61.270543,-163.241547,2016,6,16,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,438.1
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.3,3,1,USA.YukonKuskokwimDelta.3.1,plot,61.186719,-162.790764,2016,6,17,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,829.75
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.3,3,2,USA.YukonKuskokwimDelta.3.2,plot,61.186945,-162.791062,2016,6,17,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,1574.33
ds02,"Ludwig S, Hung J, Natali S",USA,Yukon Kuskokwim Delta,USA.YukonKuskokwimDelta.3,3,3,USA.YukonKuskokwimDelta.3.3,plot,61.187138,-162.791429,2016,6,17,Ludwig et al. 2018,"Ludwig et al. 2018. Yukon-Kuskokwim Delta fire: vegetation biomass, Yukon-Kuskokwim Delta Alaska, 2016. Arctic Data Center, doi:10.18739/A29S1KK6T.",Low Arctic,186.18
